Grantee Name,Grant #,HRSA Program Area,Program Name,Activity Code,Fiscal Year,Financial Assistance,County,State,DUNS #,UEI #
Louisiana State University Health Sciences Center-New Orleans,H17MC45457,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$27,562.00",Orleans Parish,LA,782627814,M7KCJ79FAVH5
University Of Alabama At Birmingham,H17MC45461,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$47,275.00",Jefferson County,AL,063690705,YND4PLMC9AN7
MARY'S CENTER FOR MATERNAL AND CHILD CARE INC.,H17MC48964,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",District of Columbia,DC,194636759,FDMWZVJL1LD6
University Of Alabama At Birmingham,H17MC48968,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Jefferson County,AL,063690705,YND4PLMC9AN7
ARIZONA DEPARTMENT OF HEALTH SERVICES,H18MC00003,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$96,427.00",Maricopa County,AZ,804745420,QMWUG1AMYF65
Executive Office Of The Governor Of Delaware,H18MC00008,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Kent County,DE,103989187,GKQPH6J32LN7
INDIANA STATE DEPARTMENT OF HEALTH,H18MC00017,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Marion County,IN,824799407,GXFMGZLP95D9
"HEALTH, LOUISIANA DEPARTMENT OF",H18MC00021,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$88,390.00",Orleans Parish,LA,014740455,L2GPNJZBM283
MICHIGAN HEALTH AND HUMAN SERVICES,H18MC00025,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Ingham County,MI,113704139,C2AQVDYYUAS7
"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",H18MC00030,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Lewis and Clark County,MT,051659352,TR3DAXR9MCN8
"HEALTH, NEW JERSEY DEPARTMENT OF",H18MC00034,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Mercer County,NJ,806418075,MQKPEU6D1BT5
NORTH DAKOTA DEPARTMENT OF HEALTH AND HUMAN SERVICES,H18MC00038,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Burleigh County,ND,067976824,U4BCQ8P144P6
Puerto Rico Department of Health,H18MC00043,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",San Juan Municipio,PR,105817142,NMLEHM4JTN15
TENNESSEE DEPARTMENT OF HEALTH,H18MC00047,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Davidson County,TN,172636268,EA5JN3P55GR1
VA STATE BOARD OF HEALTH,H18MC00052,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Richmond City,VA,809740459,WD63KVNZEFK8
DEPARTMENT OF HEALTH WYOMING,H18MC00058,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$99,425.00",Laramie County,WY,809915796,JP1QRJYYJG73
PENNSYLVANIA DEPARTMENT OF HEALTH,H18MC07833,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Dauphin County,PA,614489839,JYYWJ2QYHQP5
MINNESOTA DEPARTMENT OF HEALTH,H18MC00026,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$99,170.00",Ramsey County,MN,804887321,DHQVY2WCVHC5
NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,H18MC00031,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Lancaster County,NE,808819957,HKQDEXRXGKL1
"HEALTH, NEW MEXICO DEPARTMENT OF",H18MC00035,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$59,586.00",Santa Fe County,NM,782914170,HG44Y3KS4JP6
OHIO DEPARTMENT OF HEALTH,H18MC00039,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$55,492.00",Franklin County,OH,808847933,CLN8VY9APLQ5
"HEALTH, RHODE ISLAND DEPARTMENT OF",H18MC00044,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Providence County,RI,145310553,DMNCMMRZP5G5
DEPARTMENT OF STATE HEALTH SERVICES,H18MC00048,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$49,417.00",Travis County,TX,807391511,NFHJD7V9MGN3
"HEALTH, WASHINGTON STATE DEPARTMENT OF",H18MC00054,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Thurston County,WA,808883128,C16SP2HBR123
DEPARTMENT OF HEALTH,H18MC00059,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Western District,AS,854993177,JWV8MLNBAGC9
GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,H18MC23552,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Guam,GU,778904292,J5DHQHSHTJE7
STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,H18MC25700,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Fulton County,GA,968217559,GUT1BFELPFJ1
HEMOPHILIA OF GEORGIA,H30MC24046,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),H30,2023,"$500,000.00",Fulton County,GA,073428633,MMK8LWAWEW45
UNIVERSITY OF HEALTH SCIENCE CENTER,H30MC24051,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),H30,2023,"$484,386.00",Harris County,TX,800771594,ZUFBNVZ587D4
UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,H33MC06680,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Salt Lake County,UT,959347972,C172TQML5G99
IDAHO DEPARTMENT OF HEALTH & WELFARE,H33MC06687,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Ada County,ID,825201486,WP92EVJB9HF9
"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",H33MC06692,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Lewis and Clark County,MT,051659352,TR3DAXR9MCN8
GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,H33MC06696,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Guam,GU,778904292,J5DHQHSHTJE7
"HEALTH, LOUISIANA DEPARTMENT OF",H33MC06702,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$150,906.00",Orleans Parish,LA,014740455,L2GPNJZBM283
"HEALTH, NEW JERSEY DEPARTMENT OF",H33MC06718,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Mercer County,NJ,806418075,MQKPEU6D1BT5
IOWA DEPARTMENT OF PUBLIC HEALTH,H33MC06723,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Polk County,IA,808345920,S47QLSY37VS1
STATE OF MARYLAND INST,H33MC06728,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Baltimore City,MD,178508909,QM3LK2ZNGKK3
DEPARTMENT OF HEALTH WYOMING,H33MC07870,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$108,238.00",Laramie County,WY,809915796,JP1QRJYYJG73
EMS AUTHORITY,H33MC07874,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Sacramento County,CA,949087316,JEKNCA1X5X18
ARKANSAS DEPARTMENT OF HEALTH,H33MC11303,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$130,000.00",Pulaski County,AR,809873185,SYB9UJV328L9
PALAU MINISTRY OF HEALTH,H33MC25702,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Koror State,PW,854813003,XBK8DJ4UV3D3
HAWAII DEPARTMENT OF HEALTH,H33MC31620,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Honolulu County,HI,809935679,LFVFLBD6XZB5
DEPARTMENT OF PUBLIC HEALTH ILLINOIS,H33MC46207,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Sangamon County,IL,806660296,NN66PR7QMLR8
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,H34MC30234,Maternal and Child Health,EMSC Targeted Issue Grants (H34),H34,2023,"$100,000.00",Orange County,NC,608195277,D3LHU66KBLD5
Yale University,H34MC33245,Maternal and Child Health,EMSC Targeted Issue Grants (H34),H34,2023,"$100,000.00",New Haven County,CT,043207562,FL6GV84CKN57
"Northeast Florida Healthy Start Coalition, Inc.",H49MC00051,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Duval County,FL,139131788,CQLAFMU1A6L7
THE UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,H49MC00068,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Robeson County,NC,067189332,KMDFQGPWPK85
COUNTY OF TULSA,H49MC00087,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$995,000.00",Tulsa County,OK,048419753,NZLLEUA9G6K5
ACCESS COMMUNITY HEALTH NETWORK,H49MC00098,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Cook County,IL,010562390,XM7MMFME1TM5
"DISTRICT OF COLUMBIA, GOVERNMENT OF",H49MC00117,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",District of Columbia,DC,106731248,XUYTN6MMLKE3
COMMONWEALTH OF VIRGINIA STATE BOARD OF HEALTH,H49MC00127,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$879,857.00",Richmond City,VA,602160298,JKF3BS4U4PG1
"NORTHERN MANHATTAN PERINATAL PARTNERSHIP, INC.",H49MC00134,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",New York County,NY,199092354,KLJANQBS4SC5
"Multnomah, County of",H49MC00141,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$995,000.00",Multnomah County,OR,030784888,DZRHDJDP41A4
CHARLES DREW HEALTH CENTER INC,H49MC00156,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Douglas County,NE,115076903,LBNNLRDE8793
"MARICOPA, COUNTY OF",H49MC00174,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Maricopa County,AZ,602062515,LM85MG1513K5
HEALTHY START INC,H49MC04495,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Allegheny County,PA,877692780,CEH6LY369LK1
CHILDRENS FUTURES INC,H49MC07888,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Mercer County,NJ,114727543,Y7U9WRM41MR8
DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,H49MC12834,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Hartford County,CT,807853791,RFZKKT5RU3F8
"INSTITUTE FOR POPULATION HEALTH, INC.",H49MC26189,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Wayne County,MI,078583404,EAJHMUF6E693
Clayton County Health District,H49MC27808,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$947,775.00",Clayton County,GA,962435579,VPMPXJJZQRF8
COMMUNITY HEALTH CENTER OF RICHMOND INC,H49MC27812,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Richmond County,NY,800616851,FNJ9YNL9QLM3
"Health, Florida Department of",H49MC27817,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Leon County,FL,364215061,L924BA1SEN75
FIVE RIVERS HEALTH CENTERS,H49MC27824,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Montgomery County,OH,968420617,GPGNM2JMUNJ3
MATERNITY CARE COALITION,H49MC27829,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Philadelphia County,PA,782724645,HNMSFC7CSSQ7
"Ben Archer Health Center, Inc.",H49MC28140,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Dona Ana County,NM,123735136,DB2KJ3VCQ8L3
"NASHVILLE & DAVIDSON COUNTY, METROPOLITAN GOVERNMENT OF",H49MC32719,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$996,502.00",Davidson County,TN,078217668,LGZLHP6ZHM55
"COOK, COUNTY OF",H49MC32723,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$664,356.00",Cook County,IL,139209527,JHMSN8C8KJ58
UNIVERSITY OF HOUSTON SYSTEM,H49MC32728,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,159,121.00",Harris County,TX,036837920,QKWEF8XLMTT3
THE CORPORATION OF MERCER UNIVERSITY,H49MC32732,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,043,896.00",Bibb County,GA,065365041,FKLCLQFBA463
HEALTHIER MOMS & BABIES INC,H49MC40018,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$791,223.00",Allen County,IN,007226146,JDCEBJPEJEF1
"GLOBAL COMMUNITIES, INC.",H49MC52116,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,100,000.00",Montgomery County,MD,048855415,ED1ZKHMLK527
MOBILE COUNTY BOARD OF HEALTH,H49MC52120,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),H49,2023,"$1,094,282.00",Mobile County,AL,877377440,YYSPW27USHN7
CHILDRENS HOSPITAL MEDICAL CENTER,H4BHS15468,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$430,001.00",Hamilton County,OH,071284913,JZD1HLM2ZU83
"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",H4BHS15475,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$534,751.00",Erie County,NY,038633251,LMCJKRFW5R81
UNIVERSITY OF ARIZONA,H4BHS15488,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$183,348.00",Pima County,AZ,806345617,ED44Y3W6P7B9
THE CHILDRENS HOSPITAL OF ALABAMA,H4BHS15500,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$356,808.00",Jefferson County,AL,072106867,MLH7GVM3WF41
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,H4BHS15504,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$131,846.00",Monongalia County,WV,191510239,M7PNRH24BBM8
NATIONAL CAPITAL POISON CENTER,H4BHS15525,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$396,499.00",District of Columbia,DC,929253367,QE9YNG9STYS5
"University Of New Mexico, The",H4BHS15529,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$153,546.00",Bernalillo County,NM,868853094,F6XLTRUQJEN4
"FLORIDA HEALTH SCIENCES CENTER, INC.",H4BHS15550,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$470,007.00",Hillsborough County,FL,001409994,EQM8MESHPX43
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER OF SAN ANTONIO,H4BHS15559,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$341,373.00",Bexar County,TX,800772162,C3KXNLTAAY98
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,H4BHS15564,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$217,477.00",Pulaski County,AR,122452563,VDFYLZPJEAV6
UNIVERSITY OF UTAH,H4BHS15602,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$207,666.00",Salt Lake County,UT,009095365,LL8GLEVH6MG3
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,H4BHS26038,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$656,489.00",Essex County,NJ,078795851,QHHJD3X516J9
WAYNE STATE UNIVERSITY,H4BHS33818,Maternal and Child Health,Poison Control Stabilization and Enhancement Program (H4B),H4B,2023,"$736,671.00",Wayne County,MI,001962224,M6K6NTJ2MNE5
ARIZONA DEPARTMENT OF HEALTH SERVICES,H4NMC49252,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$343,300.00",Maricopa County,AZ,804745420,QMWUG1AMYF65
MICHIGAN HEALTH AND HUMAN SERVICES,H4NMC49256,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Ingham County,MI,113704139,C2AQVDYYUAS7
"HEALTH, NEW JERSEY DEPARTMENT OF",H4NMC49260,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Mercer County,NJ,806418075,MQKPEU6D1BT5
MINNESOTA DEPARTMENT OF HEALTH,H4NMC49264,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$345,000.00",Ramsey County,MN,804887321,DHQVY2WCVHC5
IOWA DEPARTMENT OF PUBLIC HEALTH,H4NMC49268,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$317,616.00",Polk County,IA,808345920,S47QLSY37VS1
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,H4NMC49272,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$344,955.00",Wake County,NC,809785363,DKT3LLBWFVL3
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,H4NMC49276,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),H4N,2023,"$320,471.00",San Juan Municipio,PR,948108063,KWTAB1GYM4L9
"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",H61MC00002,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$235,000.00",Suffolk County,MA,878298900,DLKMR1QVDX34
"HEALTH, LOUISIANA DEPARTMENT OF",H61MC00014,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),H61,2023,"$309,980.00",Orleans Parish,LA,014740455,L2GPNJZBM283
"Health Care Services, California Department of",H18MC24474,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Sacramento County,CA,796528263,JE73CDQUAPA7
THE CENTER FOR COMPREHENSIVE CARE & DIAGNOSIS OF INHERITED BLOOD DISORDERS,H30MC24045,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),H30,2023,"$500,000.00",Orange County,CA,961749319,Q29GNV6KWAS4
OREGON HEALTH & SCIENCE UNIVERSITY,H30MC24049,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),H30,2023,"$499,996.00",Multnomah County,OR,096997515,NPSNT86JKN51
MICHIGAN HEALTH AND HUMAN SERVICES,H33MC06677,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Ingham County,MI,113704139,C2AQVDYYUAS7
EMERGENCY MEDICAL SERVICES REGULATORY BOARD,H33MC06686,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Ramsey County,MN,113427954,C24TZTEXR6Q3
ARIZONA DEPARTMENT OF HEALTH SERVICES,H33MC06690,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$190,650.00",Maricopa County,AZ,804745420,QMWUG1AMYF65
DEPARTMENT OF FIRE AND EMERGENCY MEDICAL SERVICES,H33MC06695,Maternal and Child Health,EMSC Partnership Grants (H33),H33,2023,"$3,529.00",Saipan Municipality,MP,854856271,Q6JXPZQJCMA3
